City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,bluff,-46.6,168.3333,15.45,70,11,2.89,NZ
1,matagami,49.7502,-77.6328,-17.94,65,0,2.06,CA
2,tiznit,29.5833,-9.5,12.19,63,0,2.64,MA
3,katsuura,35.1333,140.3,9.25,67,2,2.3,JP
4,rikitea,-23.1203,-134.9692,26.71,74,8,6.67,PF
5,punta arenas,-53.15,-70.9167,11.06,76,75,3.6,CL
6,rio grande,-32.035,-52.0986,20.06,30,4,7.58,BR
7,vaini,-21.2,-175.2,26.09,94,75,5.14,TO
8,waterloo,43.4668,-80.5164,-7.37,87,100,6.69,CA
9,kenai,60.5544,-151.2583,-1.06,87,100,5.14,US
10,hermanus,-34.4187,19.2345,17.11,80,39,4.92,ZA
11,nioro,13.35,-15.75,26.04,37,86,2.05,GM
12,arkhangelskoye,55.8549,35.3287,-11.09,91,81,4.69,RU
13,pundaguitan,6.3711,126.1689,26.22,83,99,5.99,PH
14,kodiak,57.79,-152.4072,3.73,52,20,5.66,US
15,zaysan,47.4667,84.8667,-15.95,71,66,1.9,KZ
16,arraial do cabo,-22.9661,-42.0278,26.98,78,75,5.14,BR
17,ozernovskiy,51.5,156.5167,-10.76,85,49,4.44,RU
18,castro,-24.7911,-50.0119,17.84,92,100,1.54,BR
19,ushuaia,-54.8,-68.3,10.81,58,40,10.29,AR
20,klaksvik,62.2266,-6.589,-0.49,62,57,4.01,FO
21,kamina,-8.7386,24.9906,18.09,92,100,1.47,CD
22,new norfolk,-42.7826,147.0587,19.4,45,25,1.83,AU
23,necochea,-38.5473,-58.7368,14.13,55,100,11.53,AR
24,leh,34.1667,77.5833,-10.3,75,87,0.98,IN
25,albany,42.6001,-73.9662,-0.37,75,91,6.71,US
26,tual,-5.6667,132.75,27.91,76,100,5.95,ID
27,birin,26.8865,88.0718,10.89,55,34,2.03,NP
28,yellowknife,62.456,-114.3525,-25.25,70,40,1.54,CA
29,mataura,-46.1927,168.8643,15.27,45,12,0.78,NZ
30,avarua,-21.2078,-159.775,29.03,74,20,3.6,CK
31,bethel,41.3712,-73.414,5.5,70,100,6.69,US
32,cherskiy,68.75,161.3,-41.78,98,89,0.42,RU
33,adeje,28.1227,-16.726,17.23,71,20,2.57,ES
34,busselton,-33.65,115.3333,15.62,82,0,3.12,AU
35,atambua,-9.1061,124.8925,24.05,83,100,0.36,ID
36,hami,42.8,93.45,-2.83,33,0,3.82,CN
37,mosquera,4.7059,-74.2302,17.05,72,40,4.63,CO
38,severo-kurilsk,50.6789,156.125,-6.21,88,98,7.39,RU
39,bengkulu,-3.8004,102.2655,23.92,85,84,2.01,ID
